"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"175","MEINH11","MEINH7",1.06445931419534,0.287120676103973,0.87992861900656,"",NA,"SCINH9","SCINH5"
"176","MEINH12","MEINH7",-0.897343390453927,0.369535709730053,0.87992861900656,"",NA,"SCINH10","SCINH5"
"177","MEGLU1","MEINH8",-2.22310045571825,0.0262090269363652,0.838688861963687,"",NA,"SCEXC1","SCINH6"
"178","MEGLU2","MEINH8",0.457602956979729,0.647237718708703,0.977693456590577,"",NA,"SCEXC2","SCINH6"
"179","MEGLU3","MEINH8",0.263915558613771,0.791844986527024,0.977693456590577,"",NA,"SCEXC3","SCINH6"
"180","MEGLU4","MEINH8",0.114956674529796,0.908479463022097,0.977693456590577,"",NA,"SCEXC4","SCINH6"
"181","MEGLU5","MEINH8",-1.31834697119451,0.187387523776922,0.87992861900656,"",NA,"SCEXC5","SCINH6"
"182","MEGLU6","MEINH8",-0.776106636252634,0.437686025664589,0.941576660253234,"",NA,"SCEXC6","SCINH6"
"183","MEINH2","MEINH8",-0.867016084510084,0.385933196818708,0.87992861900656,"",NA,"SCINH1","SCINH6"
"184","MEINH3","MEINH8",-0.351959468609449,0.724868659372108,0.977693456590577,"",NA,"SCINH2","SCINH6"
"185","MEINH5","MEINH8",0.70393709165451,0.481471951070556,0.955479220729165,"",NA,"SCINH3","SCINH6"
"186","MEINH6","MEINH8",-0.596561451422379,0.55080021452436,0.977693456590577,"",NA,"SCINH4","SCINH6"
"187","MEINH7","MEINH8",0.426492881632713,0.669748733881469,0.977693456590577,"",NA,"SCINH5","SCINH6"
"188","MEINH8","MEINH8",1.35625368925646,0.175018464808218,0.87992861900656,"",NA,"SCINH6","SCINH6"
"189","MEINH9","MEINH8",-1.35331890526842,0.175953772093331,0.87992861900656,"",NA,"SCINH7","SCINH6"
"190","MEINH10","MEINH8",0.168300120407236,0.866347179142618,0.977693456590577,"",NA,"SCINH8","SCINH6"
"191","MEINH11","MEINH8",-0.411610670170596,0.680624809529603,0.977693456590577,"",NA,"SCINH9","SCINH6"
"192","MEINH12","MEINH8",-1.37121595502265,0.170307645938782,0.87992861900656,"",NA,"SCINH10","SCINH6"
"193","MEGLU1","MEINH9",-0.0583283526500286,0.953487083806164,0.977693456590577,"",NA,"SCEXC1","SCINH7"
"194","MEGLU2","MEINH9",-1.17153340048948,0.241384440409509,0.87992861900656,"",NA,"SCEXC2","SCINH7"
"195","MEGLU3","MEINH9",0.578582729888691,0.562870760518911,0.977693456590577,"",NA,"SCEXC3","SCINH7"
