"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Grb10",5.15945405396995e-16,0.230084589293212,0.34,0.225,7.78097265879209e-12,"Grb10"
"Tubb4a",5.38298795748475e-16,0.258714658909096,0.659,0.542,8.11808413868275e-12,"Tubb4a"
"Spryd3",5.63835190372957e-16,0.20217005455149,0.436,0.313,8.50319850601457e-12,"Spryd3"
"Ckb",6.13198624171338e-16,-0.281690657462939,0.751,0.837,9.24764845112795e-12,"Ckb"
"Ralbp1",7.37885881434885e-16,0.25222676035741,0.581,0.466,1.11280569779195e-11,"Ralbp1"
"Chn1",8.77930504758206e-16,0.30401988493576,0.649,0.553,1.32400699422585e-11,"Chn1"
"Ly6h",8.98705877075946e-16,0.247423383170509,0.852,0.765,1.35533833321823e-11,"Ly6h"
"Tmem179",9.22346247548894e-16,0.23721979152097,0.516,0.391,1.39099037592849e-11,"Tmem179"
"Ncam1",9.65722398948319e-16,0.243481941146175,0.76,0.642,1.45640594985396e-11,"Ncam1"
"Stmn3",9.99618100739648e-16,0.252025661548458,0.937,0.914,1.50752405772546e-11,"Stmn3"
"Eif3f",1.09750019619634e-15,0.309808565125718,0.732,0.669,1.6551400458837e-11,"Eif3f"
"Ywhaz",1.26625533463893e-15,0.300760384909944,0.762,0.693,1.90963967016898e-11,"Ywhaz"
"Aktip",1.64986639230372e-15,0.239750211802379,0.507,0.387,2.48816350623324e-11,"Aktip"
"Pura",1.84848440033843e-15,0.239868965783862,0.858,0.801,2.78769932415039e-11,"Pura"
"Magi2",1.87553265462659e-15,-0.208512654578848,0.187,0.304,2.82849079644237e-11,"Magi2"
"Hint1",2.16170042723581e-15,0.272863640376127,0.901,0.879,3.26006041431432e-11,"Hint1"
"mt-Co1",2.27954201529891e-15,0.240094878974468,0.636,0.521,3.43777731327229e-11,"mt-Co1"
"Eif3e",2.43500933263216e-15,0.228956984661201,0.494,0.377,3.67223757454256e-11,"Eif3e"
"Ldha",2.52196941388058e-15,0.238454278465236,0.354,0.238,3.80338207307331e-11,"Ldha"
"Iqsec3",2.57659321557077e-15,-0.277514881898068,0.364,0.482,3.88576022840228e-11,"Iqsec3"
"Pithd1",2.98199556759349e-15,0.224098598659906,0.462,0.339,4.49714751548774e-11,"Pithd1"
"Lysmd2",3.01361345124511e-15,0.22772934611227,0.55,0.436,4.54483044582275e-11,"Lysmd2"
"Aplp1",3.97501922768207e-15,0.271746582888428,0.772,0.713,5.99472649726734e-11,"Aplp1"
"Uqcrh",4.25332217113802e-15,0.213276558264348,0.94,0.947,6.41443516629324e-11,"Uqcrh"
"Eif3k",6.03442911241479e-15,0.255011503037811,0.688,0.586,9.10052254443275e-11,"Eif3k"
"Ndufa6",7.55818563648563e-15,0.225428770648899,0.916,0.911,1.1398499758384e-10,"Ndufa6"
"Yaf2",8.07762757152912e-15,0.238456881553048,0.585,0.473,1.21818701406231e-10,"Yaf2"
"Prkar1a",8.60138489673749e-15,0.232236208288544,0.812,0.748,1.29717485627698e-10,"Prkar1a"
"Hap1",9.25511749544257e-15,0.456557989648607,0.525,0.439,1.39576426948769e-10,"Hap1"
"Arf3",9.95039045000673e-15,0.283349872283351,0.737,0.662,1.50061838376551e-10,"Arf3"
"Nckap1",1.00810719376473e-14,0.221639712640469,0.575,0.457,1.52032645891658e-10,"Nckap1"
"Kif1b",1.1395670279298e-14,0.215971665417096,0.78,0.69,1.71858103482094e-10,"Kif1b"
"Kctd13",1.15143211268741e-14,0.20718642519127,0.374,0.261,1.73647476914388e-10,"Kctd13"
"Lysmd4",1.15740302576069e-14,0.218815886024723,0.514,0.396,1.7454795031497e-10,"Lysmd4"
"Rpl30",1.32880493727668e-14,0.258867701908402,0.76,0.697,2.00397072590696e-10,"Rpl30"
"Grina",1.39275521778572e-14,0.259556937268381,0.707,0.622,2.10041414394264e-10,"Grina"
"Fndc5",1.40943792520406e-14,-0.277442906362858,0.502,0.627,2.12557333500024e-10,"Fndc5"
"Celsr2",1.69743011161663e-14,0.203797736541157,0.441,0.326,2.55989435132905e-10,"Celsr2"
"Fdx1l",1.93998916891562e-14,0.237955173603699,0.525,0.416,2.92569766564165e-10,"Fdx1l"
